"Los Angeles, CA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Duarte,city,All Homes,"$567,900",1.3%,3.4%,6.6%,5.0%,4.6%,---,---,---,---,$454,1.3%,3.4%,6.6%,---,---,---,---,"$625,000",5.1%,8.5%,16.2%,"$625,000",7.3%,20.0%,14.5%,$406,2.1%,0.4%,8.9%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,548",0.9%,1.2%,4.1%
East Los Angeles,city,All Homes,"$508,300",1.2%,3.3%,7.0%,7.5%,6.7%,---,---,---,---,$876,1.2%,3.3%,7.0%,---,---,---,---,"$499,000",2.0%,4.0%,5.6%,---,---,---,---,$452,-0.2%,0.3%,-0.5%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,428",-0.2%,1.0%,4.3%
East Pasadena,city,All Homes,"$1,027,400",0.6%,1.2%,1.6%,5.0%,5.0%,---,---,---,---,$581,0.5%,1.2%,1.6%,---,---,---,---,---,---,---,---,---,---,---,---,$657,4.4%,1.3%,-3.0%,---,---,---,---,---,---,---,---,0,---,---,---,"$3,189",-2.1%,-4.4%,0.3%
El Monte,city,All Homes,"$526,800",1.1%,3.0%,3.5%,5.1%,4.8%,5.0%,-1.7%,-2.9%,-8.9%,$566,1.1%,2.9%,3.5%,---,---,---,---,"$525,000",-0.6%,1.0%,5.0%,"$504,500",0.9%,-0.3%,12.2%,$384,-2.7%,-5.6%,9.8%,"$2,400",-2.0%,0.0%,4.3%,---,---,---,---,0,---,---,---,"$2,436",-0.8%,-1.3%,2.0%
El Segundo,city,All Homes,"$1,398,700",1.3%,3.4%,3.8%,7.5%,5.6%,---,---,---,---,"$3,375",1.3%,3.4%,3.8%,---,---,---,---,"$1,153,500",0.3%,0.3%,0.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Florence-Graham,city,All Homes,"$421,400",1.1%,2.9%,8.3%,9.0%,8.3%,---,---,---,---,$420,1.0%,2.9%,8.2%,---,---,---,---,"$399,000",-4.3%,-0.6%,-3.9%,---,---,---,---,$384,-1.5%,3.7%,8.4%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,426",-1.1%,-2.3%,0.6%
Gardena,city,All Homes,"$596,300",1.1%,2.7%,5.5%,7.5%,5.7%,---,---,---,---,$896,1.0%,2.6%,5.4%,---,---,---,---,"$559,000",-0.1%,1.8%,-4.4%,"$578,400",-0.5%,6.2%,5.3%,$395,4.4%,-1.6%,3.4%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,814",0.5%,-0.1%,3.2%
Glendale,city,All Homes,"$886,000",1.2%,3.0%,5.1%,6.2%,5.3%,11.1%,5.4%,-2.5%,-4.4%,"$1,069",1.1%,3.0%,5.1%,2.0%,-0.7%,-1.1%,-1.4%,"$800,000",-4.6%,-5.9%,-7.9%,"$788,500",1.7%,0.9%,-3.2%,$533,0.0%,-0.3%,-0.1%,"$2,990",-0.3%,-3.5%,3.2%,$2.35,-0.5%,0.0%,5.3%,---,---,---,---,"$3,254",0.9%,1.1%,1.2%
Glendora,city,All Homes,"$636,700",1.2%,3.2%,4.7%,4.3%,4.1%,13.0%,5.2%,-2.1%,-9.0%,"$2,254",1.2%,3.2%,4.7%,1.6%,0.4%,-0.3%,-0.9%,"$679,000",-1.3%,3.4%,4.5%,"$665,800",3.5%,6.3%,17.1%,$401,-1.2%,5.3%,3.3%,"$2,500",-8.3%,-7.4%,0.0%,$1.77,2.3%,5.5%,4.6%,---,---,---,---,"$2,661",-0.5%,0.8%,3.4%
Green Valley,city,All Homes,"$330,200",1.0%,3.3%,8.6%,5.7%,---,---,---,---,---,$280,1.1%,3.3%,8.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
